,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
0,58,4,1,4,2,2143,1,2,5,5,261,1,-1,0,1,2
1,44,11,3,3,2,29,1,2,5,5,151,1,-1,0,1,2
2,33,6,1,3,2,2,1,1,5,5,76,1,-1,0,1,2
3,47,8,1,1,2,1506,1,2,5,5,92,1,-1,0,1,2
4,33,1,3,1,2,1,2,2,5,5,198,1,-1,0,1,2
5,35,4,1,4,2,231,1,2,5,5,139,1,-1,0,1,2
6,28,4,3,4,2,447,1,1,5,5,217,1,-1,0,1,2
7,42,6,2,4,1,2,1,2,5,5,380,1,-1,0,1,2
8,58,10,1,2,2,121,1,2,5,5,50,1,-1,0,1,2
9,43,11,3,3,2,593,1,2,5,5,55,1,-1,0,1,2
10,41,2,2,3,2,270,1,2,5,5,222,1,-1,0,1,2
11,29,2,3,3,2,390,1,2,5,5,137,1,-1,0,1,2
12,53,11,1,3,2,6,1,2,5,5,517,1,-1,0,1,2
13,58,11,1,1,2,71,1,2,5,5,71,1,-1,0,1,2
14,57,1,1,3,2,162,1,2,5,5,174,1,-1,0,1,2
15,51,10,1,2,2,229,1,2,5,5,353,1,-1,0,1,2
16,45,2,3,1,2,13,1,2,5,5,98,1,-1,0,1,2
17,57,8,1,2,2,52,1,2,5,5,38,1,-1,0,1,2
18,60,10,1,2,2,60,1,2,5,5,219,1,-1,0,1,2
19,33,1,1,3,2,0,1,2,5,5,54,1,-1,0,1,2
20,28,8,1,3,2,723,1,1,5,5,262,1,-1,0,1,2
21,56,4,1,4,2,779,1,2,5,5,164,1,-1,0,1,2
22,32,8,3,2,2,23,1,1,5,5,160,1,-1,0,1,2
23,25,1,1,3,2,50,1,2,5,5,342,1,-1,0,1,2
24,40,10,1,2,2,0,1,1,5,5,181,1,-1,0,1,2
25,44,2,1,3,2,-372,1,2,5,5,172,1,-1,0,1,2
26,39,4,3,4,2,255,1,2,5,5,296,1,-1,0,1,2
27,52,6,1,3,2,113,1,1,5,5,127,1,-1,0,1,2
28,46,4,3,3,2,-246,1,2,5,5,255,2,-1,0,1,2
29,36,11,3,3,2,265,1,1,5,5,348,1,-1,0,1,2
30,57,11,1,3,2,839,2,1,5,5,225,1,-1,0,1,2
31,49,4,1,4,2,378,1,2,5,5,230,1,-1,0,1,2
32,60,2,1,3,2,39,1,1,5,5,208,1,-1,0,1,2
33,59,8,1,3,2,0,1,2,5,5,226,1,-1,0,1,2
34,51,4,1,4,2,10635,1,2,5,5,336,1,-1,0,1,2
35,57,11,2,3,2,63,1,2,5,5,242,1,-1,0,1,2
36,25,8,1,3,2,-7,1,2,5,5,365,1,-1,0,1,2
37,53,11,1,3,2,-3,2,2,5,5,1666,1,-1,0,1,2
38,36,2,2,3,2,506,1,2,5,5,577,1,-1,0,1,2
39,37,2,3,3,2,0,1,2,5,5,137,1,-1,0,1,2
40,44,1,2,3,2,2586,1,2,5,5,160,1,-1,0,1,2
41,50,4,1,3,2,49,1,2,5,5,180,2,-1,0,1,2
42,60,8,1,1,2,104,1,2,5,5,22,1,-1,0,1,2
43,54,10,1,3,2,529,1,2,5,5,1492,1,-1,0,1,2
44,58,10,1,1,2,96,1,2,5,5,616,1,-1,0,1,2
45,36,2,3,2,2,-171,1,2,5,5,242,1,-1,0,1,2
46,58,9,1,4,2,-364,1,2,5,5,355,1,-1,0,1,2
47,44,11,1,3,2,0,1,2,5,5,225,2,-1,0,1,2
48,55,11,2,3,2,0,2,2,5,5,160,1,-1,0,1,2
49,29,4,3,4,2,0,1,2,5,5,363,1,-1,0,1,2
50,54,8,1,3,2,1291,1,2,5,5,266,1,-1,0,1,2
51,48,4,2,4,2,-244,1,2,5,5,253,1,-1,0,1,2
52,32,4,1,4,2,0,1,2,5,5,179,1,-1,0,1,2
53,42,2,3,3,2,-76,1,2,5,5,787,1,-1,0,1,2
54,24,11,3,3,2,-103,1,1,5,5,145,1,-1,0,1,2
55,38,6,3,4,2,243,2,1,5,5,174,1,-1,0,1,2
56,38,4,3,4,2,424,1,2,5,5,104,1,-1,0,1,2
57,47,8,1,1,2,306,1,2,5,5,13,1,-1,0,1,2
58,40,8,3,1,2,24,1,2,5,5,185,1,-1,0,1,2
59,46,1,1,2,2,179,1,2,5,5,1778,1,-1,0,1,2
60,32,2,1,4,2,0,1,2,5,5,138,1,-1,0,1,2
61,53,11,2,3,2,989,1,2,5,5,812,1,-1,0,1,2
62,57,8,1,2,2,249,1,2,5,5,164,1,-1,0,1,2
63,33,1,1,3,2,790,1,2,5,5,391,1,-1,0,1,2
64,49,8,1,1,2,154,1,2,5,5,357,1,-1,0,1,2
65,51,4,1,4,2,6530,1,2,5,5,91,1,-1,0,1,2
66,60,10,1,4,2,100,2,2,5,5,528,1,-1,0,1,2
67,59,4,2,4,2,59,1,2,5,5,273,1,-1,0,1,2
68,55,11,1,3,2,1205,1,2,5,5,158,2,-1,0,1,2
69,35,8,3,3,2,12223,1,1,5,5,177,1,-1,0,1,2
70,57,8,1,3,2,5935,1,1,5,5,258,1,-1,0,1,2
71,31,1,1,3,2,25,1,1,5,5,172,1,-1,0,1,2
72,54,4,1,3,2,282,1,1,5,5,154,1,-1,0,1,2
73,55,8,1,2,2,23,1,2,5,5,291,1,-1,0,1,2
74,43,11,1,3,2,1937,1,2,5,5,181,1,-1,0,1,2
75,53,11,1,3,2,384,1,2,5,5,176,1,-1,0,1,2
76,44,8,1,3,2,582,2,1,5,5,211,1,-1,0,1,2
